,ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
56,269.3873335,-30.7194553,17h57m32.96s,-30d43m10.04s,0.0425,0.0789,0.0093,10.746,0.052,21.1,30.66,8.888,0.025,42.7,7.905,1,0,,,5,57278.92010407,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956511,13.282,0.0497,12.373,0.0591,12.099,0.0497,0.305571,122.254687
57,269.3874418,-30.7194372,17h57m32.99s,-30d43m09.97s,0.0499,0.0473,-0.0101,10.686,0.029,38.1,47.33,8.981,0.018,58.7,4.729,1,0,,,5,57279.05126234,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956511,13.282,0.0497,12.373,0.0591,12.099,0.0497,0.601615,99.367314
58,269.3874348,-30.7194768,17h57m32.98s,-30d43m10.12s,0.0351,0.0321,0.0031,10.624,0.025,43.8,88.72,8.895,0.015,72.6,7.322,1,0,,,5,57279.18254796,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956511,13.282,0.0497,12.373,0.0591,12.099,0.0497,0.62043,112.80549
59,269.3874511,-30.7194619,17h57m32.99s,-30d43m10.06s,0.0503,0.0449,-0.0147,10.682,0.033,33.3,29.63,8.923,0.017,62.5,2.741,1,0,,,5,57279.31370618,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956511,13.282,0.0497,12.373,0.0591,12.099,0.0497,0.649814,106.710108
60,269.3874473,-30.7194601,17h57m32.99s,-30d43m10.06s,0.0448,0.0543,-0.0279,10.725,0.044,24.8,20.55,8.915,0.018,58.8,9.545,1,0,,,5,57465.95984478,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956511,13.282,0.0497,12.373,0.0591,12.099,0.0497,0.636692,106.455894
61,269.3874937,-30.7192544,17h57m33.00s,-30d43m09.32s,0.0534,0.0553,-0.0109,10.774,0.039,28.1,21.02,9.056,0.018,59.5,10.24,1,0,,,5,57466.0908759,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956511,13.282,0.0497,12.373,0.0591,12.099,0.0497,0.939477,53.398548
62,269.387339,-30.7194596,17h57m32.96s,-30d43m10.05s,0.0449,0.0402,-0.0176,10.557,0.038,28.3,48.52,8.88,0.015,71.2,8.699,1,0,,,5,57466.22203438,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956511,13.282,0.0497,12.373,0.0591,12.099,0.0497,0.328255,122.954118
63,269.3874425,-30.7194735,17h57m32.99s,-30d43m10.10s,0.0555,0.0481,-0.0014,10.698,0.045,24.1,21.13,8.934,0.019,56.8,4.273,1,0,,,5,57466.3530655,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956511,13.282,0.0497,12.373,0.0591,12.099,0.0497,0.638108,110.992514
64,269.3874423,-30.7194098,17h57m32.99s,-30d43m09.88s,0.0378,0.0311,-0.0033,10.666,0.035,31.1,28.63,8.893,0.013,86.4,9.569,1,0,,,5,57466.41864476,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956511,13.282,0.0497,12.373,0.0591,12.099,0.0497,0.595142,89.930733
65,269.3874475,-30.7194575,17h57m32.99s,-30d43m10.05s,0.0496,0.0491,-0.0164,10.775,0.032,33.4,41.66,8.91,0.018,60.7,4.094,1,0,,,5,57466.48409671,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956511,13.282,0.0497,12.373,0.0591,12.099,0.0497,0.634701,105.6297
66,269.3874242,-30.7194224,17h57m32.98s,-30d43m09.92s,0.045,0.039,-0.0168,10.738,0.032,34.3,32.64,8.957,0.016,67.9,5.707,1,0,,,5,57466.54967593,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956511,13.282,0.0497,12.373,0.0591,12.099,0.0497,0.540968,94.733411
67,269.3874575,-30.7194688,17h57m32.99s,-30d43m10.09s,0.052,0.0535,-0.0057,10.828,0.038,28.4,33.98,8.969,0.018,60.2,7.26,1,0,,,10,57466.68070704,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956511,13.282,0.0497,12.373,0.0591,12.099,0.0497,0.676168,108.243673
68,269.3874261,-30.7194677,17h57m32.98s,-30d43m10.08s,0.0456,0.0491,-0.0128,10.785,0.037,29.6,40.86,8.908,0.018,59.1,9.012,1,0,,,5,57466.68083436,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956511,13.282,0.0497,12.373,0.0591,12.099,0.0497,0.583245,110.863697
69,269.3874695,-30.7193873,17h57m32.99s,-30d43m09.79s,0.0383,0.0361,0.0122,10.627,0.042,25.9,19.5,8.883,0.015,74.3,7.8,1,0,,,5,57466.81186552,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956511,13.282,0.0497,12.373,0.0591,12.099,0.0497,0.684216,83.140507
70,269.387629,-30.7194617,17h57m33.03s,-30d43m10.06s,0.0462,0.0464,-0.0195,10.515,0.026,42.4,49.68,8.888,0.019,57.4,9.043,1,0,,,5,57466.94289669,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956511,13.282,0.0497,12.373,0.0591,12.099,0.0497,1.187622,99.016469
71,269.3873841,-30.7194281,17h57m32.97s,-30d43m09.94s,0.0347,0.0389,-0.014,10.888,0.042,25.6,26.38,8.899,0.014,78.2,10.76,1,0,,,5,57637.12808307,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956511,13.282,0.0497,12.373,0.0591,12.099,0.0497,0.420104,98.922914
72,269.3874191,-30.7193909,17h57m32.98s,-30d43m09.81s,0.0426,0.0458,-0.0094,10.634,0.037,29.6,28.36,8.898,0.018,61.8,8.065,1,0,,,5,57637.25911417,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956511,13.282,0.0497,12.373,0.0591,12.099,0.0497,0.527834,82.514982
73,269.3873378,-30.7194504,17h57m32.96s,-30d43m10.02s,0.0418,0.0353,-0.011,11.065,0.051,21.2,19.89,8.953,0.015,72.4,2.294,1,0,,,5,57637.39014527,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956511,13.282,0.0497,12.373,0.0591,12.099,0.0497,0.308203,118.157599
74,269.3874772,-30.7194541,17h57m32.99s,-30d43m10.03s,0.0367,0.0378,-0.0134,10.736,0.03,36.7,37.44,8.955,0.015,71.4,10.39,1,0,,,5,57637.52117637,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956511,13.282,0.0497,12.373,0.0591,12.099,0.0497,0.720846,102.723211
75,269.3873728,-30.7194603,17h57m32.97s,-30d43m10.06s,0.042,0.0442,-0.0162,10.917,0.051,21.3,15.61,8.919,0.016,67.9,8.863,1,0,,,5,57637.58662821,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956511,13.282,0.0497,12.373,0.0591,12.099,0.0497,0.42098,115.476313
76,269.3877345,-30.7194142,17h57m33.06s,-30d43m09.89s,0.0446,0.041,-0.014,10.57,0.024,44.6,20.77,8.948,0.018,61.6,18.53,1,0,,,5,57637.65220742,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956511,13.282,0.0497,12.373,0.0591,12.099,0.0497,1.499528,90.577856
77,269.3874342,-30.7193951,17h57m32.98s,-30d43m09.82s,0.0505,0.05,-0.0132,10.851,0.043,25.2,17.17,8.927,0.018,61.5,3.51,1,0,,,5,57637.71765931,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956511,13.282,0.0497,12.373,0.0591,12.099,0.0497,0.572587,84.624706
78,269.3874052,-30.7194859,17h57m32.98s,-30d43m10.15s,0.0429,0.0395,-0.01,10.821,0.038,28.8,33.51,8.928,0.016,67.7,9.467,1,0,,,5,57637.78323856,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956511,13.282,0.0497,12.373,0.0591,12.099,0.0497,0.552605,119.634331
79,269.3874606,-30.719459,17h57m32.99s,-30d43m10.05s,0.0425,0.0419,-0.0169,10.818,0.035,31.0,24.11,8.92,0.016,68.5,5.567,1,0,,,5,57637.84869045,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956511,13.282,0.0497,12.373,0.0591,12.099,0.0497,0.675224,105.144113
80,269.3874839,-30.7194076,17h57m33.00s,-30d43m09.87s,0.0443,0.0376,-0.0174,10.765,0.03,36.3,27.25,8.985,0.014,76.3,7.128,1,0,,,5,57637.97972155,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956511,13.282,0.0497,12.373,0.0591,12.099,0.0497,0.723939,89.316232
81,269.3875008,-30.7194364,17h57m33.00s,-30d43m09.97s,0.0488,0.0458,-0.0149,10.771,0.033,33.4,26.47,8.948,0.017,65.7,3.529,1,0,,,5,57638.1107527,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956511,13.282,0.0497,12.373,0.0591,12.099,0.0497,0.781984,96.98088
82,269.3875357,-30.7194923,17h57m33.01s,-30d43m10.17s,0.0443,0.0422,-0.0187,10.692,0.031,35.4,27.68,8.909,0.016,67.6,5.413,1,0,,,5,57638.24178375,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956511,13.282,0.0497,12.373,0.0591,12.099,0.0497,0.932518,108.525235
83,269.3876078,-30.7195034,17h57m33.03s,-30d43m10.21s,0.0329,0.0317,-0.0105,10.496,0.02,54.1,71.7,8.983,0.016,68.7,22.16,1,0,,,5,57641.9104069,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956511,13.282,0.0497,12.373,0.0591,12.099,0.0497,1.157261,106.890895
84,269.3874665,-30.7194105,17h57m32.99s,-30d43m09.88s,0.0382,0.037,-0.0078,10.625,0.022,49.7,90.94,8.947,0.016,68.7,6.348,1,0,,,5,57830.3204122,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956511,13.282,0.0497,12.373,0.0591,12.099,0.0497,0.670035,90.153976
